ds,frequency
2021-03-09 20:21:00,137
2021-03-10 03:47:00,137
2021-03-10 04:22:00,137
2021-03-10 03:53:00,137
2021-03-10 03:28:00,137
2021-03-08 22:45:00,137
2021-03-09 00:57:00,137
2021-03-09 04:11:00,137
2021-03-10 03:18:00,137
2021-03-10 05:05:00,137
2021-03-09 02:48:00,137
2021-03-09 02:37:00,137
2021-03-09 05:12:00,137
2021-03-10 02:25:00,137
2021-03-10 03:51:00,137
2021-03-09 05:40:00,137
2021-03-09 03:38:00,137
2021-03-08 21:22:00,137
2021-03-09 21:29:00,137
2021-03-09 04:15:00,136
2021-03-09 20:51:00,136
2021-03-09 03:10:00,136
2021-03-09 21:11:00,136
2021-03-09 20:20:00,136
2021-03-09 20:44:00,136
2021-03-10 03:06:00,136
2021-03-09 22:22:00,136
2021-03-09 06:22:00,136
2021-03-09 01:23:00,136
2021-03-09 20:57:00,136
2021-03-09 22:33:00,136
2021-03-08 23:05:00,136
2021-03-09 21:21:00,136
2021-03-10 04:37:00,135
2021-03-09 21:14:00,135
2021-03-09 21:41:00,135
2021-03-10 04:35:00,135
2021-03-10 03:49:00,135
2021-03-09 03:13:00,135
2021-03-09 01:34:00,135
2021-03-09 05:06:00,135
2021-03-09 03:29:00,135
2021-03-09 03:14:00,135
2021-03-09 04:02:00,135
2021-03-09 02:24:00,135
2021-03-09 04:43:00,135
2021-03-09 03:28:00,135
2021-03-09 01:14:00,135
2021-03-09 03:01:00,135
2021-03-10 04:43:00,135
2021-03-09 02:20:00,135
2021-03-10 03:37:00,135
2021-03-09 04:45:00,135
2021-03-10 04:58:00,135
2021-03-09 01:57:00,135
2021-03-09 22:14:00,135
2021-03-09 20:38:00,134
2021-03-09 04:05:00,134
2021-03-09 01:55:00,134
2021-03-09 00:49:00,134
2021-03-09 01:38:00,134
2021-03-09 01:51:00,134
2021-03-09 03:34:00,134
2021-03-09 01:13:00,134
2021-03-09 21:02:00,134
2021-03-08 23:04:00,134
2021-03-10 05:10:00,134
2021-03-09 22:44:00,134
2021-03-10 02:24:00,134
2021-03-08 22:53:00,134
2021-03-10 03:26:00,134
2021-03-10 05:50:00,134
2021-03-09 22:37:00,134
2021-03-10 03:19:00,134
2021-03-09 03:55:00,134
2021-03-09 21:28:00,134
2021-03-10 03:58:00,134
2021-03-09 05:26:00,133
2021-03-09 21:25:00,133
2021-03-10 03:32:00,133
2021-03-10 03:52:00,133
2021-03-10 01:39:00,133
2021-03-10 05:36:00,133
2021-03-09 01:46:00,133
2021-03-09 03:20:00,133
2021-03-09 01:53:00,133
2021-03-09 02:28:00,133
2021-03-09 03:15:00,133
2021-03-10 04:41:00,133
2021-03-10 05:13:00,133
2021-03-10 05:18:00,133
2021-03-09 21:03:00,133
2021-03-10 05:06:00,133
2021-03-09 05:50:00,133
2021-03-10 02:47:00,133
2021-03-09 21:09:00,132
2021-03-09 21:12:00,132
2021-03-09 19:46:00,132
2021-03-10 05:08:00,132
2021-03-10 04:09:00,132
2021-03-09 21:18:00,132
2021-03-10 04:31:00,132
2021-03-09 04:35:00,132
2021-03-09 02:13:00,132
2021-03-09 04:13:00,132
2021-03-10 05:38:00,132
2021-03-10 03:41:00,132
2021-03-09 01:41:00,132
2021-03-09 20:56:00,132
2021-03-09 03:11:00,132
2021-03-10 04:14:00,132
2021-03-09 20:59:00,132
2021-03-10 05:45:00,132
2021-03-10 05:39:00,131
2021-03-09 01:59:00,131
2021-03-09 21:06:00,131
2021-03-09 04:18:00,131
2021-03-10 04:02:00,131
2021-03-09 04:44:00,131
2021-03-09 04:24:00,131
2021-03-09 02:06:00,131
2021-03-09 22:29:00,131
2021-03-09 05:28:00,130
2021-03-10 05:43:00,130
2021-03-10 06:04:00,130
2021-03-10 05:49:00,130
2021-03-10 04:59:00,130
2021-03-09 02:56:00,130
2021-03-09 19:45:00,130
2021-03-10 06:35:00,130
2021-03-10 05:02:00,130
2021-03-10 06:13:00,130
2021-03-09 22:58:00,130
2021-03-09 23:24:00,130
2021-03-10 06:55:00,130
2021-03-10 05:07:00,130
2021-03-10 06:45:00,130
2021-03-08 22:58:00,129
2021-03-10 04:53:00,129
2021-03-10 05:03:00,129
2021-03-09 21:40:00,129
2021-03-10 06:30:00,129
2021-03-10 06:16:00,129
2021-03-10 04:29:00,129
2021-03-09 05:14:00,129
2021-03-09 05:02:00,129
2021-03-08 21:01:00,129
2021-03-10 08:30:00,129
2021-03-09 04:46:00,129
2021-03-09 02:14:00,129
2021-03-08 21:00:00,129
2021-03-09 01:03:00,129
2021-03-10 04:56:00,129
2021-03-09 05:24:00,128
2021-03-09 05:15:00,128
2021-03-09 19:50:00,128
2021-03-09 21:07:00,128
2021-03-09 02:49:00,128
2021-03-10 03:09:00,128
2021-03-09 05:05:00,128
2021-03-10 05:11:00,128
2021-03-08 22:56:00,128
2021-03-09 06:33:00,128
2021-03-09 05:38:00,128
2021-03-09 20:23:00,128
2021-03-09 05:07:00,128
2021-03-09 03:08:00,128
2021-03-09 21:16:00,127
2021-03-09 03:59:00,127
2021-03-09 06:00:00,127
2021-03-10 03:07:00,127
2021-03-08 23:01:00,127
2021-03-10 02:38:00,127
2021-03-10 02:22:00,127
2021-03-08 22:55:00,127
2021-03-09 01:48:00,127
2021-03-10 03:31:00,127
2021-03-09 03:31:00,127
2021-03-09 02:32:00,127
2021-03-10 04:24:00,127
2021-03-09 05:39:00,127
2021-03-09 04:21:00,127
2021-03-09 20:01:00,127
2021-03-09 02:50:00,127
2021-03-09 01:49:00,127
2021-03-10 06:50:00,127
2021-03-09 02:33:00,126
2021-03-09 03:26:00,126
2021-03-10 03:43:00,126
2021-03-09 06:15:00,126
2021-03-10 05:35:00,126
2021-03-09 01:58:00,126
2021-03-09 20:58:00,126
2021-03-09 03:27:00,126
2021-03-09 05:54:00,126
2021-03-10 07:45:00,126
2021-03-10 04:13:00,126
2021-03-09 03:22:00,126
2021-03-09 20:40:00,126
2021-03-09 04:23:00,126
2021-03-09 19:30:00,126
2021-03-09 04:16:00,126
2021-03-10 02:49:00,126
2021-03-09 01:43:00,126
2021-03-09 21:08:00,125
2021-03-09 01:33:00,125
2021-03-09 05:03:00,125
2021-03-10 06:15:00,125
2021-03-09 02:51:00,125
2021-03-09 03:19:00,125
2021-03-09 04:37:00,125
2021-03-09 04:58:00,125
2021-03-09 20:03:00,125
2021-03-10 05:47:00,125
2021-03-08 21:46:00,125
2021-03-09 06:25:00,125
2021-03-10 05:42:00,125
2021-03-10 05:53:00,125
2021-03-08 22:47:00,125
2021-03-10 04:20:00,125
2021-03-10 04:34:00,125
2021-03-09 05:45:00,125
2021-03-09 20:12:00,125
2021-03-10 08:08:00,125
2021-03-09 06:20:00,125
2021-03-10 07:40:00,124
2021-03-09 05:09:00,124
2021-03-09 20:55:00,124
2021-03-09 21:01:00,124
2021-03-10 06:08:00,124
2021-03-09 05:20:00,124
2021-03-09 05:37:00,124
2021-03-09 04:25:00,124
2021-03-09 03:51:00,124
2021-03-10 07:18:00,124
2021-03-09 04:59:00,124
2021-03-09 19:12:00,124
2021-03-09 21:20:00,124
2021-03-10 05:55:00,124
2021-03-10 03:12:00,124
2021-03-09 04:26:00,124
2021-03-09 20:22:00,124
2021-03-09 03:41:00,124
2021-03-09 02:35:00,124
2021-03-08 22:18:00,124
2021-03-09 20:46:00,124
2021-03-10 08:01:00,124
2021-03-09 01:11:00,123
2021-03-09 20:11:00,123
2021-03-09 21:46:00,123
2021-03-09 20:48:00,123
2021-03-10 04:39:00,123
2021-03-10 03:13:00,123
2021-03-09 06:05:00,123
2021-03-09 06:11:00,123
2021-03-09 04:55:00,123
2021-03-09 19:15:00,123
2021-03-09 20:10:00,123
2021-03-10 05:56:00,123
2021-03-09 03:52:00,123
2021-03-09 04:49:00,123
2021-03-10 04:44:00,123
2021-03-10 04:38:00,123
2021-03-10 05:32:00,123
2021-03-10 06:46:00,123
2021-03-08 22:36:00,123
2021-03-08 22:20:00,123
